4.012619068468093,2,2,2,5,5,2,2,2,2,2,2,2,4,6,2,2,2,2,9,6,2,5,5,2,5,2,2,4,2,4,5,4,6,2,4,2,4,12,2,2,2,2,5,2,2,2,4,4,2,5
25.14075312168532,4,2,2,2,2,4,2,2,2,2,2,2,2,2,4,2,5,2,2,2,2,6,2,4,2,2,2,2,9,5,9,5,2,4,4,2,5,7,2,2,5,4,5,4,2,6,11,2,10,6
45.71319933306857,2,2,2,2,2,4,5,2,2,2,2,6,2,5,2,2,4,5,4,11,4,5,2,8,2,2,4,2,2,2,2,5,2,2,5,10,5,2,4,5,4,5,4,4,5,4,4,6,5,2
67.98342595882707,2,2,2,2,2,2,2,4,4,4,5,6,5,2,4,4,2,2,2,2,4,2,4,2,5,9,4,2,4,4,2,2,2,2,2,5,4,2,2,5,2,5,2,2,2,2,5,4,4,4
89.210218635259,4,6,11,2,2,5,2,5,4,8,5,2,2,2,2,2,4,5,2,6,6,6,2,2,2,2,4,2,2,4,2,2,4,7,8,2,9,2,2,4,2,2,2,5,11,2,2,5,2,4
109.46633638607184,4,8,2,2,2,4,2,5,2,4,5,4,4,2,6,4,2,4,2,2,4,2,5,2,2,2,2,2,2,4,2,5,10,2,2,4,4,5,2,2,5,5,6,7,5,2,2,5,5,2
130.77164913056333,4,2,6,6,2,2,8,6,2,2,4,5,5,2,2,2,4,2,2,5,2,5,2,9,5,2,2,2,2,4,9,2,4,2,4,7,2,11,14,5,2,2,2,5,2,6,8,2,2,8
151.4541087675321,5,2,4,9,5,4,2,5,2,5,5,2,2,5,2,5,2,2,7,7,2,2,2,2,5,7,4,2,2,2,2,2,2,2,4,6,4,5,2,2,2,2,2,2,2,2,2,5,5,2
173.85957931331882,2,2,4,4,5,2,4,2,2,5,2,11,2,2,4,2,4,8,2,2,2,5,2,2,2,4,5,5,2,2,2,2,2,6,2,2,2,2,2,2,2,2,5,2,5,5,7,4,5,4
196.77945860827163,2,4,6,4,2,6,2,2,4,2,2,4,5,5,2,2,4,2,5,4,2,2,2,4,7,2,2,2,6,16,2,4,2,2,4,2,5,2,4,6,6,2,2,5,7,2,2,2,4,2
