4.0126190684680925,16.7,16.7,17.6,17.6,15.5,15.5,13.4,13.4,15.8,15.8,24.3
25.334713019313412,32.1,32.1,32.1,32.1,28.4,28.4,29.0,29.0,24.9,24.9,45.0
46.535438093359545,37.0,37.0,28.6,28.6,17.6,17.6,37.1,37.1,30.4,30.4,43.5
68.21634094308641,26.3,26.3,24.0,24.0,14.3,14.3,32.3,32.3,18.1,18.1,41.1
89.74592658580809,21.2,21.2,21.5,21.5,31.5,31.5,29.3,29.3,28.6,28.6,32.0
111.41871065911243,23.6,23.6,15.3,15.3,13.7,13.7,22.3,22.3,23.9,23.9,29.0
133.29856051591756,16.5,16.5,13.9,13.9,16.9,16.9,16.5,16.5,19.0,19.0,35.9
154.63582756572322,18.3,18.3,12.8,12.8,21.1,21.1,13.2,13.2,21.4,21.4,28.5
176.21814593776816,12.6,12.6,16.6,16.6,13.6,13.6,19.8,19.8,14.6,14.6,16.0
197.6601237101314,9.9,9.9,7.3,7.3,18.7,18.7,11.0,11.0,15.2,15.2,26.8
219.1346256010414,13.3,13.3,14.6,14.6,11.5,11.5,12.6,12.6,13.4,13.4,21.3
240.91373164337034,15.9,15.9,8.8,8.8,12.8,12.8,15.3,15.3,14.9,14.9,13.3
262.0384555724769,15.2,15.2,14.1,14.1,10.2,10.2,17.5,17.5,16.5,16.5,17.7
283.3929308818123,10.4,10.4,17.6,17.6,15.0,15.0,13.3,13.3,10.2,10.2,18.8
304.66926351972444,10.8,10.8,19.8,19.8,17.6,17.6,20.0,20.0,20.3,20.3,23.0
325.8865643515725,15.9,15.9,20.0,20.0,14.8,14.8,14.4,14.4,13.1,13.1,18.0
347.3765101211986,13.9,13.9,10.2,10.2,15.8,15.8,20.4,20.4,10.4,10.4,16.5
369.1417801032343,16.8,16.8,14.3,14.3,20.8,20.8,9.6,9.6,14.2,14.2,17.2
390.67177834488257,15.4,15.4,10.2,10.2,12.0,12.0,13.2,13.2,6.9,6.9,17.4
412.3216297709826,10.5,10.5,11.1,11.1,12.1,12.1,14.5,14.5,12.5,12.5,15.7
433.84249273790937,11.9,11.9,14.4,14.4,15.5,15.5,13.1,13.1,14.3,14.3,16.7
455.002857012835,15.9,15.9,16.3,16.3,12.0,12.0,14.6,14.6,15.5,15.5,17.7
476.02124003723867,10.2,10.2,12.6,12.6,14.0,14.0,11.2,11.2,11.2,11.2,12.0
497.27319026173893,10.8,10.8,11.6,11.6,12.0,12.0,13.4,13.4,11.3,11.3,19.4
518.65767328769,14.7,14.7,16.5,16.5,17.7,17.7,12.7,12.7,15.2,15.2,21.3
540.5975309615106,11.5,11.5,14.2,14.2,13.0,13.0,9.2,9.2,10.6,10.6,14.4
561.4881255989154,10.0,10.0,12.3,12.3,7.8,7.8,8.9,8.9,10.0,10.0,10.6
583.4149305636236,9.6,9.6,7.7,7.7,13.2,13.2,11.7,11.7,10.3,10.3,14.5
605.1077105896833,9.6,9.6,5.8,5.8,10.8,10.8,6.9,6.9,8.2,8.2,12.2
626.3599417634634,9.3,9.3,7.8,7.8,7.2,7.2,9.7,9.7,10.2,10.2,12.0
647.8848578674033,7.1,7.1,8.1,8.1,8.7,8.7,8.4,8.4,6.3,6.3,10.2
669.244202956251,8.1,8.1,11.1,11.1,8.6,8.6,8.7,8.7,9.4,9.4,10.5
690.21180184636,10.5,10.5,9.5,9.5,8.4,8.4,10.1,10.1,11.4,11.4,12.3
711.8772930418329,8.8,8.8,9.3,9.3,11.6,11.6,10.4,10.4,7.6,7.6,10.7
733.5609049565968,10.7,10.7,10.4,10.4,11.2,11.2,11.8,11.8,9.2,9.2,13.2
755.1141023207333,8.4,8.4,5.7,5.7,9.2,9.2,10.0,10.0,7.5,7.5,12.8
776.4126701520527,8.8,8.8,7.8,7.8,8.5,8.5,10.8,10.8,8.0,8.0,14.4
797.9812162273302,7.8,7.8,8.0,8.0,10.9,10.9,8.8,8.8,10.9,10.9,11.4
819.3851099368883,9.4,9.4,10.1,10.1,8.4,8.4,10.8,10.8,10.9,10.9,12.4
841.0019051667039,8.6,8.6,7.6,7.6,9.1,9.1,7.7,7.7,7.1,7.1,9.0
862.39009833971,4.0,4.0,5.3,5.3,5.9,5.9,6.1,6.1,5.2,5.2,9.0
884.0668085980657,6.8,6.8,7.4,7.4,5.2,5.2,6.9,6.9,6.8,6.8,7.3
905.6887549462645,6.4,6.4,5.3,5.3,8.1,8.1,5.7,5.7,6.7,6.7,8.7
927.1504818974905,5.4,5.4,4.7,4.7,7.0,7.0,4.2,4.2,5.3,5.3,6.0
948.524593663167,7.2,7.2,6.6,6.6,5.5,5.5,7.5,7.5,6.0,6.0,8.7
970.1632064215182,7.3,7.3,6.7,6.7,6.1,6.1,5.6,5.6,6.0,6.0,6.7
991.6423936962376,7.5,7.5,5.6,5.6,5.0,5.0,5.7,5.7,5.5,5.5,6.5
1012.8729530194396,4.2,4.2,4.8,4.8,4.7,4.7,5.8,5.8,4.9,4.9,4.5
1034.1936375669673,4.0,4.0,4.3,4.3,3.9,3.9,5.0,5.0,4.9,4.9,5.2
1055.3785573678633,5.8,5.8,6.2,6.2,7.1,7.1,6.6,6.6,6.6,6.6,8.2
1071.1241251266729,6.5,6.5,4.5,4.5,5.75,5.75,4.5,4.5,5.0,5.0,4.25
1087.2628006785405,3.5,3.5,5.5,5.5,5.0,5.0,2.5,2.5,3.5,3.5,4.0
